facilityCode,name,legalName,providerType,facilityCategory,levelOfCare,ownership,tier,contractStatus,medicalChainRole,largeInstitutionFlag,servicesOffered,acceptsInsurance,insurersAccepted,insuranceEvidence,sourceClass,sourceNotes,region,district,county,subcounty,address,geoLatitude,geoLongitude,isOpen24Hours,operatingHours,phone,email,contactPerson,paymentTermDays,creditLimitUGX,contractStartDate,contractEndDate,contractNotes,licenceNumber,registrationNumber,facilityLevel,smartProviderId,slade360ProviderId
UG-FAC-00011-KAMPALA-HOSPITAL,Kampala Hospital,Kampala Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kololo,"Kololo, Kampala",0.330176,32.575611,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670079190,billing.0011@kampala.hospital.test.ug,Provider Relations 0011,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000011,UG-REG-TEST-000011,General Hospital,SMART-UG-00011,SLADE-UG-00011
UG-FAC-00012-CASE-HOSPITAL,Case Hospital,Case Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Buganda Road,"Buganda Road, Kampala",0.363421,32.576723,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670087109,billing.0012@case.hospital.test.ug,Provider Relations 0012,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000012,UG-REG-TEST-000012,General Hospital,SMART-UG-00012,SLADE-UG-00012
UG-FAC-00013-LUBAGA-HOSPITAL,Lubaga Hospital,Lubaga Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Lubaga,"Lubaga, Kampala",0.339221,32.574811,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670095028,billing.0013@lubaga.hospital.test.ug,Provider Relations 0013,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000013,UG-REG-TEST-000013,General Hospital,SMART-UG-00013,SLADE-UG-00013
UG-FAC-00014-MENGO-HOSPITAL,Mengo Hospital,Mengo Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Mengo,"Mengo, Kampala",0.361819,32.592784,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670102947,billing.0014@mengo.hospital.test.ug,Provider Relations 0014,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000014,UG-REG-TEST-000014,General Hospital,SMART-UG-00014,SLADE-UG-00014
UG-FAC-00015-ST-FRANCIS-HOSPITAL-NSAMBYA,St. Francis Hospital Nsambya,St. Francis Hospital Nsambya Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Nsambya,"Nsambya, Kampala",0.34803,32.591401,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670110866,billing.0015@st.francis.hospital.nsambya.test.ug,Provider Relations 0015,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000015,UG-REG-TEST-000015,General Hospital,SMART-UG-00015,SLADE-UG-00015
UG-FAC-00016-KIBULI-HOSPITAL,Kibuli Hospital,Kibuli Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,AAR|Jubilee|Prudential|Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.342236,32.581107,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670118785,billing.0016@kibuli.hospital.test.ug,Provider Relations 0016,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000016,UG-REG-TEST-000016,General Hospital,SMART-UG-00016,SLADE-UG-00016
UG-FAC-00017-AGA-KHAN-UNIVERSITY-HOSPITAL,Aga Khan University Hospital,Aga Khan University Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|Prudential|Sanlam|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala Road / Acacia,Kampala Road / Acacia,0.362942,32.569886,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670126704,billing.0017@aga.khan.university.hospital.test.ug,Provider Relations 0017,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000017,UG-REG-TEST-000017,General Hospital,SMART-UG-00017,SLADE-UG-00017
UG-FAC-00018-UMC-VICTORIA-HOSPITAL,UMC Victoria Hospital,UMC Victoria Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|Prudential,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Bukoto / Kira Road,"Bukoto / Kira Road, Kampala",0.356219,32.587818,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670134623,billing.0018@umc.victoria.hospital.test.ug,Provider Relations 0018,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000018,UG-REG-TEST-000018,General Hospital,SMART-UG-00018,SLADE-UG-00018
UG-FAC-00019-RUBY-MEDICAL-CENTER,Ruby Medical Center,Ruby Medical Center Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Lugogo Bypass,"Lugogo Bypass, Kampala",0.355182,32.596465,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670142542,billing.0019@ruby.medical.center.test.ug,Provider Relations 0019,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000019,UG-REG-TEST-000019,General Hospital,SMART-UG-00019,SLADE-UG-00019
UG-FAC-00020-TMR-INTERNATIONAL-HOSPITAL,TMR International Hospital,TMR International Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Naalya,"Naalya, Kampala",0.344107,32.596313,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670150461,billing.0020@tmr.international.hospital.test.ug,Provider Relations 0020,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000020,UG-REG-TEST-000020,General Hospital,SMART-UG-00020,SLADE-UG-00020
UG-FAC-00021-BETHANY-WOMEN-S-AND-CHILDREN-S-HOS,Bethany Women's and Children's Hospital,Bethany Women's and Children's Hospital Limited,HOSPITAL,Specialized Hospital,General Hospital,Private for profit,PANEL,ACTIVE,Specialized Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Surgery|Hospital,true,AAR,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Wakiso,Wakiso,Entebbe / Luzira,Entebbe / Luzira,0.388339,32.481971,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670158380,billing.0021@bethany.women.s.and.children.s.hospital.test.ug,Provider Relations 0021,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000021,UG-REG-TEST-000021,General Hospital,SMART-UG-00021,SLADE-UG-00021
UG-FAC-00022-CORSU-REHABILITATION-HOSPITAL,CORSU Rehabilitation Hospital,CORSU Rehabilitation Hospital Limited,CLINIC,Specialized Orthopaedics,Outpatient,Private not for profit,PARTNER,ACTIVE,Specialized Orthopaedics,true,Outpatient|Laboratory|Minor Surgery,true,Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Kampala,Kampala,0.354396,32.570367,false,"{""Mon"":""08:00-17:00"",""Tue"":""08:00-17:00"",""Wed"":""08:00-17:00"",""Thu"":""08:00-17:00"",""Fri"":""08:00-17:00"",""Sat"":""09:00-13:00"",""Sun"":""Closed""}",+25670166299,billing.0022@corsu.rehabilitation.hospital.test.ug,Provider Relations 0022,21,65000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000022,UG-REG-TEST-000022,Outpatient,SMART-UG-00022,SLADE-UG-00022
UG-FAC-00023-NKOZI-HOSPITAL,Nkozi Hospital,Nkozi Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Mpigi,Mpigi,Nkozi Subcounty,"Nkozi Subcounty, Mpigi",0.194576,32.270382,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670174218,billing.0023@nkozi.hospital.test.ug,Provider Relations 0023,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000023,UG-REG-TEST-000023,General Hospital,SMART-UG-00023,SLADE-UG-00023
UG-FAC-00024-ST-FRANCIS-NAGGALAMA-HOSPITAL,St. Francis Naggalama Hospital,St. Francis Naggalama Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private not for profit,PARTNER,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,UAP Old Mutual,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Mukono,Mukono,Mukono,Mukono,0.3102,32.717939,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670182137,billing.0024@st.francis.naggalama.hospital.test.ug,Provider Relations 0024,21,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000024,UG-REG-TEST-000024,General Hospital,SMART-UG-00024,SLADE-UG-00024
UG-FAC-00025-NORVIK-HOSPITAL,Norvik Hospital,Norvik Hospital Limited,HOSPITAL,General Hospital,General Hospital,Private for profit,PANEL,ACTIVE,General Hospital,true,Outpatient|Inpatient|Emergency|Laboratory|Pharmacy|Maternity|Surgery|ICU,true,Jubilee|Prudential|Sanlam,Seed report provider-panel or tie-up evidence,report_seed,Seeded from user-provided insurance landscape CSV and cross-checked against the user-provided research report.,Central,Kampala,Kampala,Bombo Road,"Bombo Road, Kampala",0.343486,32.588645,true,"{""Mon"":""00:00-24:00"",""Tue"":""00:00-24:00"",""Wed"":""00:00-24:00"",""Thu"":""00:00-24:00"",""Fri"":""00:00-24:00"",""Sat"":""00:00-24:00"",""Sun"":""00:00-24:00""}",+25670190056,billing.0025@norvik.hospital.test.ug,Provider Relations 0025,30,250000000,2026-01-01,2027-12-31,"Report-derived Uganda facility fixture for provider network, claims, preauth, member map, settlement, and tariff testing.",UMDPC-TEST-000025,UG-REG-TEST-000025,General Hospital,SMART-UG-00025,SLADE-UG-00025
